Site,ID number,Species,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness
Ksar Akil 28A,2663,Neanderthal,5,70.92,20.27,30.34,18.52,9,18.83,4.28
Ksar Akil 28A,1938,Neanderthal,6,76.36,40.24,36.55,41.46,10.77,40.79,10.87
Ksar Akil 28A,2158,Neanderthal,3,47.36,21.46,21.5,11.79,4.3,19.24,3.69
Ksar Akil 28A,2274,Neanderthal,4,49.46,32.94,30.71,9.23,5.12,28.65,5.4
Ksar Akil 28A,2257,Neanderthal,3,56.05,41.19,40.59,36.15,5.02,40.35,6.98
Ksar Akil 28A,2063,Neanderthal,4,79.59,40.67,36.13,7.25,12.24,38.61,9.89
Ksar Akil 28A,2519,Neanderthal,7,42.71,37.61,37.84,9.06,12.06,37.07,14.36
Ksar Akil 28A,2364,Neanderthal,4,60.74,27.02,38.35,51.13,11.39,35.7,12.48
Ksar Akil 28A,2806,Neanderthal,3,56.01,34.4,41.47,39.81,8.71,34.78,8.72
Ksar Akil 28A,2201,Neanderthal,3,59.33,47.69,49.15,31.93,10.16,42.71,15.56
Ksar Akil 28A,2525,Neanderthal,3,51.66,39.82,40.51,31.75,7.63,38.68,11.1
Ksar Akil 28A,1504,Neanderthal,0,56.04,28.15,25.92,2.7,5.98,26.77,3.61
Ksar Akil 28A,1667,Neanderthal,3,47.15,18.92,13.13,3.58,4.7,17.84,3.24
Ksar Akil 28A,1399,Neanderthal,4,55.53,29.63,32.5,2.54,9.29,29.45,10.05
Ksar Akil 28A,1511,Neanderthal,5,54.31,30.59,28.71,3.32,8.08,30.02,5.93
Ksar Akil 28A,1487,Neanderthal,4,53.47,21.95,22.16,6.62,6.39,21.72,5.23
Ksar Akil 28A,1535,Neanderthal,5,43.45,38.26,30.94,3.96,6.5,32.07,5.7
Ksar Akil 28A,1521,Neanderthal,3,48.4,20.77,30.57,6.46,8.67,19.39,8.12
Ksar Akil 28A,1579,Neanderthal,4,38.57,31.41,23.18,2.88,2.48,31.02,1.79
Ksar Akil 28A,1531,Neanderthal,4,50.26,29.21,26.58,5.26,5.99,29.13,9.6
Ksar Akil 28A,1563,Neanderthal,4,57.51,34.7,28.76,4.49,4.8,27.44,7.28
Ksar Akil 28A,1400,Neanderthal,3,53,38.28,33.1,4.2,8.67,40.61,10.91
Ksar Akil 28A,1526,Neanderthal,5,52.94,21.48,28.22,4.67,10.57,21.27,8.61
Ksar Akil 28A,1389,Neanderthal,3,54.18,27.69,28.15,3.55,7.89,26.21,8.12
Ksar Akil 28A,1425,Neanderthal,3,53.92,31.13,27.5,4.46,8.79,31.1,10.19
Ksar Akil 28A,1555,Neanderthal,4,93.07,40.05,37.41,10.73,9.04,39.62,9.27
Ksar Akil 28A,1528,Neanderthal,4,46.4,53.6,42.18,3.64,8.41,53.78,10.38
Ksar Akil 28A,1551,Neanderthal,6,71.56,52.84,48.21,7.11,11.7,51.43,11.21
Ksar Akil 28A,1522,Neanderthal,7,61.54,31.86,34.84,3.91,10.84,30.55,9.26
Ksar Akil 28A,1184,Neanderthal,2,65.39,36.38,26.13,4.18,4.97,33.79,4.77
Ksar Akil 28A,2066,Neanderthal,7,65.62,35.18,34.47,23.01,8.97,34.1,9.73
Ksar Akil 28A,1849,Neanderthal,5,62.49,28.73,34.31,26.23,5.13,27.19,6.31
Ksar Akil 28A,2217,Neanderthal,5,60.53,49.86,44.26,6.04,8.25,49.8,4.41
Ksar Akil 28A,2507,Neanderthal,8,73.54,33.01,55.08,35.33,11.55,22.03,12.12
Ksar Akil 28A,1927,Neanderthal,5,63.6,39.27,55.13,30.22,13.52,31.16,15.51
Ksar Akil 28A,2256,Neanderthal,5,53.62,38.74,37.13,30.19,4.49,25.09,4.72
Ksar Akil 28A,1111,Neanderthal,3,45.66,40.8,34.1,6.24,7.92,40.59,4.8
Ksar Akil 28A,2088,Neanderthal,7,40.63,41.12,37.18,12.91,8.16,41.98,11.05
Ksar Akil 28A,2058,Neanderthal,5,53.35,34.81,29.28,4.44,4.09,34.19,NA
Ksar Akil 28A,2551,Neanderthal,6,53.43,37.2,43.01,47.48,4.73,28.92,NA
Ksar Akil 28A,2518,Neanderthal,5,70.57,37.86,46.99,21.32,10.08,35.68,12.48
Ksar Akil 28A,2079,Neanderthal,5,73.99,31.07,44.57,43.08,8.01,15.29,8.66
