Site,ID number,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness,Weight,,,
Ksar Akil 28A,2274.00,4.00,49.46,32.94,30.71,9.23,5.12,28.65,5.40,11.10,,,
Ksar Akil 28A,2257.00,3.00,56.05,41.19,40.59,36.15,5.02,40.35,6.98,15.50,,,
Ksar Akil 28A,2063.00,4.00,79.59,40.67,36.13,7.25,12.24,38.61,9.89,42.60,,,
Ksar Akil 28A,2519.00,7.00,42.71,37.61,37.84,9.06,12.06,37.07,14.36,20.40,,,
Ksar Akil 28A,2364.00,4.00,60.74,27.02,38.35,51.13,11.39,35.70,12.48,26.30,,,
Ksar Akil 28A,2806.00,3.00,56.01,34.40,41.47,39.81,8.71,34.78,8.72,20.80,,,
Ksar Akil 28A,2201.00,3.00,59.33,47.69,49.15,31.93,10.16,42.71,15.56,33.80,,,
Ksar Akil 28A,2525.00,3.00,51.66,39.82,40.51,31.75,7.63,38.68,11.10,17.90,,,
Ksar Akil 28A,1504.00,0.00,56.04,28.15,25.92,2.70,5.98,26.77,3.61,10.40,,,
Ksar Akil 28A,1667.00,3.00,47.15,18.92,13.13,3.58,4.70,17.84,3.24,3.00,,,
Ksar Akil 28A,1399.00,4.00,55.53,29.63,32.50,2.54,9.29,29.45,10.05,15.80,,,
Ksar Akil 28A,1511.00,5.00,54.31,30.59,28.71,3.32,8.08,30.02,5.93,13.80,,,
Ksar Akil 28A,1487.00,4.00,53.47,21.95,22.16,6.62,6.39,21.72,5.23,10.20,,,
Ksar Akil 28A,1535.00,5.00,43.45,38.26,30.94,3.96,6.50,32.07,5.70,9.10,,,
Ksar Akil 28A,1521.00,3.00,48.40,20.77,30.57,6.46,8.67,19.39,8.12,11.60,,,
Ksar Akil 28A,1579.00,4.00,38.57,31.41,23.18,2.88,2.48,31.02,1.79,13.60,,,
Ksar Akil 28A,1531.00,4.00,50.26,29.21,26.58,5.26,5.99,29.13,9.60,10.40,,,
Ksar Akil 28A,1563.00,4.00,57.51,34.70,28.76,4.49,4.80,27.44,7.28,12.70,,,
Ksar Akil 28A,1400.00,3.00,53.00,38.28,33.10,4.20,8.67,40.61,10.91,18.30,,,
Ksar Akil 28A,1526.00,5.00,52.94,21.48,28.22,4.67,10.57,21.27,8.61,14.50,,,
Ksar Akil 28A,1389.00,3.00,54.18,27.69,28.15,3.55,7.89,26.21,8.12,12.70,,,
Ksar Akil 28A,1425.00,3.00,53.92,31.13,27.50,4.46,8.79,31.10,10.19,15.20,,,
Ksar Akil 28A,1555.00,4.00,93.07,40.05,37.41,10.73,9.04,39.62,9.27,41.70,,,
Ksar Akil 28A,1528.00,4.00,46.40,53.60,42.18,3.64,8.41,53.78,10.38,20.90,,,
Ksar Akil 28A,1551.00,6.00,71.56,52.84,48.21,7.11,11.70,51.43,11.21,42.50,,,
Ksar Akil 28A,1522.00,7.00,61.54,31.86,34.84,3.91,10.84,30.55,9.26,22.40,,,
Ksar Akil 28A,1184.00,2.00,65.39,36.38,26.13,4.18,4.97,33.79,4.77,10.10,,,
Ksar Akil 28A,2066.00,7.00,65.62,35.18,34.47,23.01,8.97,34.10,9.73,27.80,,,
Ksar Akil 28A,1849.00,5.00,62.49,28.73,34.31,26.23,5.13,27.19,6.31,13.80,,,
Ksar Akil 28A,2217.00,5.00,60.53,49.86,44.26,6.04,8.25,49.80,4.41,25.70,,,
Ksar Akil 28A,2507.00,8.00,73.54,33.01,55.08,35.33,11.55,22.03,12.12,34.60,,,
Ksar Akil 28A,1927.00,5.00,63.60,39.27,55.13,30.22,13.52,31.16,15.51,52.60,,,
Ksar Akil 28A,2256.00,5.00,53.62,38.74,37.13,30.19,4.49,25.09,4.72,14.30,,,
Ksar Akil 28A,1111.00,3.00,45.66,40.80,34.10,6.24,7.92,40.59,4.80,12.00,,,
Ksar Akil 28A,2088.00,7.00,40.63,41.12,37.18,12.91,8.16,41.98,11.05,15.30,,,
Ksar Akil 28A,2058.00,5.00,53.35,34.81,29.28,4.44,4.09,34.19,,9.00,,,
Ksar Akil 28A,2551.00,6.00,53.43,37.20,43.01,47.48,4.73,28.92,,15.80,,,
Ksar Akil 28A,2518.00,5.00,70.57,37.86,46.99,21.32,10.08,35.68,12.48,39.00,,,
Ksar Akil 28A,2079.00,5.00,73.99,31.07,44.57,43.08,8.01,15.29,8.66,25.70,,,
Ksar Akil 28A,2239.00,5.00,55.82,33.43,39.24,23.49,6.18,37.86,8.68,19.30,,,
Ksar Akil 28A,2021.00,6.00,68.68,44.56,50.54,8.73,9.11,44.49,10.49,38.60,,,
Ksar Akil 28A,2691.00,5.00,58.59,23.96,34.58,17.20,3.99,18.09,5.12,11.90,,,
Ksar Akil 28A,2233.00,4.00,52.93,26.88,41.44,4.51,9.13,25.33,7.00,20.00,,,
Ksar Akil 28A,2542.00,6.00,62.49,32.48,37.91,22.05,6.36,29.64,8.13,21.30,,,
Ksar Akil 28A,2068.00,6.00,68.73,33.86,41.22,3.66,10.58,20.76,11.75,35.10,,,
Ksar Akil 28A,2247.00,4.00,57.41,33.65,36.07,14.85,7.60,32.39,6.24,18.10,,,
Ksar Akil 28A,2020.00,6.00,65.02,53.43,35.32,12.73,8.09,53.42,7.26,27.20,,,
Ksar Akil 28A,2005.00,3.00,51.20,24.35,25.27,7.05,5.86,22.69,8.87,9.90,,,
Ksar Akil 28A,2282.00,3.00,46.40,32.29,35.99,30.95,9.48,31.18,9.42,14.60,,,
Ksar Akil 28A,2317.00,4.00,37.00,21.33,23.00,4.61,5.63,15.25,6.56,5.70,,,
Ksar Akil 28A,2265.00,7.00,80.44,28.61,37.33,10.19,8.45,12.49,5.37,30.70,,,
Ksar Akil 28A,2065.00,7.00,61.93,33.63,27.09,19.44,5.55,32.11,8.06,16.00,,,
